week_number,router_id,movement_count
40,8a734674-e451-4fe1-8b50-3b3b46e334a1,203152
4,64642101-76de-4d38-9a09-c595b0c310d5,199970
6,64642101-76de-4d38-9a09-c595b0c310d5,197152
3,64642101-76de-4d38-9a09-c595b0c310d5,196055
7,64642101-76de-4d38-9a09-c595b0c310d5,185929
8,64642101-76de-4d38-9a09-c595b0c310d5,181674
5,64642101-76de-4d38-9a09-c595b0c310d5,177509
41,8a734674-e451-4fe1-8b50-3b3b46e334a1,176278
42,8a734674-e451-4fe1-8b50-3b3b46e334a1,160565
2,64642101-76de-4d38-9a09-c595b0c310d5,156502
1,8a734674-e451-4fe1-8b50-3b3b46e334a1,140308
49,8a734674-e451-4fe1-8b50-3b3b46e334a1,136079
52,8a734674-e451-4fe1-8b50-3b3b46e334a1,134200
51,8a734674-e451-4fe1-8b50-3b3b46e334a1,134086
26,07190dec-be71-44a2-8d64-c24fb51ebc7b,129247
50,8a734674-e451-4fe1-8b50-3b3b46e334a1,129102
43,64642101-76de-4d38-9a09-c595b0c310d5,108049
47,8a734674-e451-4fe1-8b50-3b3b46e334a1,107643
38,8a734674-e451-4fe1-8b50-3b3b46e334a1,106441
22,07190dec-be71-44a2-8d64-c24fb51ebc7b,105255
23,07190dec-be71-44a2-8d64-c24fb51ebc7b,97496
19,8a734674-e451-4fe1-8b50-3b3b46e334a1,94122
11,64642101-76de-4d38-9a09-c595b0c310d5,93205
27,64642101-76de-4d38-9a09-c595b0c310d5,85504
16,8a734674-e451-4fe1-8b50-3b3b46e334a1,85412
32,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,81120
48,8a734674-e451-4fe1-8b50-3b3b46e334a1,80795
18,07190dec-be71-44a2-8d64-c24fb51ebc7b,72340
13,8a734674-e451-4fe1-8b50-3b3b46e334a1,70665
31,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,70457
28,64642101-76de-4d38-9a09-c595b0c310d5,69690
15,8a734674-e451-4fe1-8b50-3b3b46e334a1,66521
34,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,66142
33,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,65650
24,07190dec-be71-44a2-8d64-c24fb51ebc7b,64534
46,8a734674-e451-4fe1-8b50-3b3b46e334a1,62423
35,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,62049
21,07190dec-be71-44a2-8d64-c24fb51ebc7b,61422
17,8a734674-e451-4fe1-8b50-3b3b46e334a1,57376
9,64642101-76de-4d38-9a09-c595b0c310d5,55802
39,8a734674-e451-4fe1-8b50-3b3b46e334a1,53775
44,64642101-76de-4d38-9a09-c595b0c310d5,53347
29,64642101-76de-4d38-9a09-c595b0c310d5,47334
36,8a734674-e451-4fe1-8b50-3b3b46e334a1,44540
12,64642101-76de-4d38-9a09-c595b0c310d5,42551
25,07190dec-be71-44a2-8d64-c24fb51ebc7b,36716
30,37cea6a6-eaaa-4e12-9b4b-b444163a2cc8,35609
37,8a734674-e451-4fe1-8b50-3b3b46e334a1,33336
14,8a734674-e451-4fe1-8b50-3b3b46e334a1,33070
20,07190dec-be71-44a2-8d64-c24fb51ebc7b,32207
10,64642101-76de-4d38-9a09-c595b0c310d5,31434
45,8a734674-e451-4fe1-8b50-3b3b46e334a1,13756
